id,gen,ht,wt,imb,age,cirw,cirth,cirn
564,0,175,84,27429,56,92,104,38
565,0,186,124,35842,28,121,114,44
566,0,167,77,27609,48,98,106,40
567,1,177,84,26812,55,88,114,39
568,0,179,85,26529,40,98,101,42
569,0,180,82,25309,33,90,104,41
570,0,170,95,32872,54,102,110,42
571,0,182,69,20831,34,80,82,37
572,0,169,70,24509,38,87,98,37
573,0,178,88,27774,39,94,105,42
574,0,183,79,23590,22,81,101,39
575,0,176,89,28732,26,99,101,43
576,0,188,84,23766,41,96,106,42
577,0,165,69,25344,53,81,96,38
578,1,159,65,25711,52,88,103,
579,1,0,0,0,29,0,0,0
580,0,170,86,29758,52,107,110,44
581,0,172,94,31774,55,105,115,43
582,0,164,68,25283,40,82,100,38
583,0,183,95,28368,48,97,110,43
584,1,156,60,24655,51,84,102,37
585,1,162,78,29721,24,87,98,34
586,1,165,70,25712,41,85,100,37
587,0,167,65,23307,59,83,97,38
588,0,175,77,25143,59,95,102,41
589,0,172,78,26366,32,87,106,38
590,0,180,70,21605,21,77,98,38
591,0,176,73,23567,46,86,104,40
592,0,191,102,27960,45,97,107,42
593,0,186,95,27460,44,105,110,44
594,0,184,83,24516,34,88,90,41
595,0,180,90,27778,53,97,106,42
596,0,187,90,25737,37,91,109,43
597,1,180,59,18210,31,71,96,32
598,1,164,65,24167,50,70,101,34
599,1,176,61,19693,51,75,97,33
600,0,198,107,27293,50,106,117,40
601,1,164,70,26026,50,83,109,40
602,1,179,75,23408,26,79,110,36
603,0,164,68,25283,36,77,99,43
604,1,159,0,0,36,123,132,43
605,0,178,71,22409,27,77,98,41
606,1,172,60,20281,35,71,93,32
607,1,169,66,23108,34,78,96,34
608,0,186,80,23124,42,88,97,38
609,0,176,88,28409,27,94,94,41
610,1,164,68,25283,51,81,102,40
611,1,164,96,35693,50,97,127,38
612,0,173,94,31408,50,98,107,42
613,1,160,73,28516,51,93,105,38
614,1,168,64,22676,39,76,94,36
615,1,168,78,27636,54,93,106,41
616,1,158,46,18427,37,65,88,35
